mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_modelo__n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.002291123072306315,0.0004400693050158519,0.0028276443481445312,0.0011071960814077692,1,{'modelo__n_neighbors': 1},0.10597622512002902,0.12409247482303387,-0.158522556747122,0.02384871439864696,0.12916787534140237,10
0.0032417774200439453,0.0003383327371992745,0.003523667653401693,0.0005738584582666987,2,{'modelo__n_neighbors': 2},0.2688888601963081,0.33937912304315165,0.26456273290540966,0.2909435720482898,0.03429461371183684,9
0.0035645167032877603,0.0001933712679329248,0.004696448644002278,0.0006072906808817416,3,{'modelo__n_neighbors': 3},0.33305693168819006,0.38274397062085674,0.3568991216233608,0.3575666746441359,0.020290140130134523,8
0.003491640090942383,0.00045152341404025955,0.004007657368977864,0.0004245673876220436,4,{'modelo__n_neighbors': 4},0.3424065481781793,0.4047013681944993,0.40990988884227353,0.3856726017383174,0.030667525873863448,6
0.002256472905476888,3.925605325535621e-05,0.0030902226765950522,0.00015741794192936412,5,{'modelo__n_neighbors': 5},0.3588650117909338,0.37719827848094023,0.41254917632785437,0.3828708221999095,0.022280495127495165,7
0.002673943837483724,0.00045905615106425264,0.003893693288167318,0.00012200794969781198,6,{'modelo__n_neighbors': 6},0.3726645240761507,0.3899233403169079,0.4363893415532042,0.3996590686487543,0.026910981590354308,5
0.0027468999226888022,0.00010480105022633889,0.003188610076904297,0.00032754952919687393,7,{'modelo__n_neighbors': 7},0.41258356171136756,0.39368141779359034,0.44614745295718716,0.417470810820715,0.02169616117103911,4
0.0024504661560058594,0.0006727107980159069,0.003065188725789388,0.0005942518663179417,8,{'modelo__n_neighbors': 8},0.414478300771393,0.4097786720146648,0.48585014430084794,0.43670237236230197,0.03480564362767687,3
0.0027490456899007163,0.0005307075587246782,0.0032059351603190103,0.0005258695045463329,9,{'modelo__n_neighbors': 9},0.41419132203953624,0.41203499523031306,0.5284617424278275,0.4515626865658923,0.05438296933581211,2
0.0022129217783610025,0.0004173800949182418,0.002967278162638346,0.00016130214602676527,10,{'modelo__n_neighbors': 10},0.408989318351079,0.40530314932769673,0.5443713653620645,0.45288794434694674,0.06470604918135144,1
